icon_id,artist_id,num_albums,artist_name,album_id,track_id,album_name,track_name,media_type_id,track_length
1,8,4,Adele,1,1,19,Daydreamer,5,335
1,8,4,Adele,1,2,19,"Best for Last",2,182
1,8,4,Adele,1,3,19,"Chasing Pavements",1,266
1,8,4,Adele,1,4,19,"Cold Shoulder",2,357
1,8,4,Adele,1,5,19,"Crazy for You",4,212
1,8,4,Adele,1,6,19,"Melt My Heart to Stone",2,181
1,8,4,Adele,1,7,19,"First Love",3,215
1,8,4,Adele,1,8,19,"Right as Rain",4,313
1,8,4,Adele,1,9,19,"Make You Feel My Love",3,302
1,8,4,Adele,1,10,19,"My Same",1,196
1,8,4,Adele,1,11,19,Tired,1,269
1,8,4,Adele,1,12,19,"Hometown Glory",2,319
1,8,4,Adele,2,13,21,"Rolling in the Deep",1,318
1,8,4,Adele,2,14,21,"Rumour Has It",3,212
1,8,4,Adele,2,15,21,"Turning Tables",4,234
1,8,4,Adele,2,16,21,"Don’t You Remember",4,277
1,8,4,Adele,2,17,21,"Set Fire to the Rain",3,300
1,8,4,Adele,2,18,21,"He Won’t Go",1,308
1,8,4,Adele,2,19,21,"Take It All",2,224
1,8,4,Adele,2,20,21,"I’ll Be Waiting",3,355
1,8,4,Adele,2,21,21,"One and Only",5,256
1,8,4,Adele,2,22,21,Lovesong,1,241
1,8,4,Adele,2,23,21,"Someone Like You",4,348
1,8,4,Adele,2,24,21,"If It Hadn’t Been for Love",2,232
1,8,4,Adele,2,25,21,"Hiding My Heart",3,325
1,8,4,Adele,2,26,21,"I Found a Boy",3,358
1,8,4,Adele,3,27,25,Hello,4,242
1,8,4,Adele,3,28,25,"Send My Love (To Your New Lover)",2,239
1,8,4,Adele,3,29,25,"I Miss You",4,216
1,8,4,Adele,3,30,25,"When We Were Young",5,274
1,8,4,Adele,3,31,25,Remedy,2,233
1,8,4,Adele,3,32,25,"Water Under the Bridge",3,210
1,8,4,Adele,3,33,25,"River Lea",4,189
1,8,4,Adele,3,34,25,"Love in the Dark",3,356
1,8,4,Adele,3,35,25,"Million Years Ago",3,235
1,8,4,Adele,3,36,25,"All I Ask",3,285
1,8,4,Adele,3,37,25,"Sweetest Devotion",4,268
1,8,4,Adele,4,38,30,"Strangers by Nature",1,332
1,8,4,Adele,4,39,30,"Easy on Me",1,326
1,8,4,Adele,4,40,30,"My Little Love",4,339
1,8,4,Adele,4,41,30,"Cry Your Heart Out",2,323
1,8,4,Adele,4,42,30,"Oh My God",4,322
1,8,4,Adele,4,43,30,"Can I Get It",5,326
1,8,4,Adele,4,44,30,"I Drink Wine",5,314
1,8,4,Adele,4,45,30,"All Night Parking",4,221
1,8,4,Adele,4,46,30,"Woman Like Me",3,314
1,8,4,Adele,4,47,30,"Hold On",3,275
1,8,4,Adele,4,48,30,"To Be Loved",4,359
1,8,4,Adele,4,49,30,"Love Is a Game",4,324
2,68,7,"Ariana Grande",5,50,"Yours Truly","Honeymoon Avenue",4,268
2,68,7,"Ariana Grande",5,51,"Yours Truly","Baby I",5,199
2,68,7,"Ariana Grande",5,52,"Yours Truly","Right There",2,241
2,68,7,"Ariana Grande",5,53,"Yours Truly","Tattooed Heart",4,332
2,68,7,"Ariana Grande",5,54,"Yours Truly","Lovin’ It",5,181
2,68,7,"Ariana Grande",5,55,"Yours Truly",Piano,5,287
